_dewptm,_fog,_hail,_hum,_precipm,_pressurem,_rain,_snow,_tempm,_thunder,_tornado,_wdird
5,0,0,23,,1015,0,0,28,0,0,300
6,0,0,23,,1014,0,0,29,0,0,0
6,0,0,23,,1014,0,0,29,0,0,0
6,0,0,25,,1014,0,0,28,0,0,300
6,0,0,26,,1014,0,0,27,0,0,0
9,0,0,41,,1014,0,0,23,0,0,0
9,0,0,46,,1015,0,0,21,0,0,0
10,0,0,49,,1015,0,0,21,0,0,0
9,0,0,49,,1015,0,0,20,0,0,0
9,0,0,49,,1015,0,0,20,0,0,0
10,0,0,56,,1015,0,0,19,0,0,0
9,0,0,52,,1015,0,0,19,0,0,0
10,0,0,59,,1015,0,0,18,0,0,0
9,0,0,59,,1014,0,0,17,0,0,0
9,0,0,59,,1014,0,0,17,0,0,0
8,0,0,59,,1014,0,0,16,0,0,0
8,0,0,59,,1014,0,0,16,0,0,0
7,0,0,55,,1014,0,0,16,0,0,0
7,0,0,59,,1014,0,0,15,0,0,210
6,0,0,52,,1015,0,0,16,0,0,230
7,0,0,49,,1016,0,0,18,0,0,240
9,0,0,46,,1016,0,0,21,0,0,270
9,0,0,38,,1016,0,0,24,0,0,240
7,0,0,28,,1014,0,0,27,0,0,270
8,0,0,28,,1013,0,0,28,0,0,270
7,0,0,26,,1013,0,0,28,0,0,290
8,0,0,30,,1012,0,0,27,0,0,280
7,0,0,32,,1013,0,0,25,0,0,280
8,0,0,43,,1013,0,0,21,0,0,0
8,0,0,46,,1014,0,0,20,0,0,0
9,0,0,52,,1014,0,0,19,0,0,0
9,0,0,52,,1014,0,0,19,0,0,0
9,0,0,56,,1014,0,0,18,0,0,0
8,0,0,55,,1014,0,0,17,0,0,0
8,0,0,55,,1014,0,0,17,0,0,0
8,0,0,55,,1013,0,0,17,0,0,0
8,0,0,63,,1013,0,0,15,0,0,0
7,0,0,59,,1013,0,0,15,0,0,0
7,0,0,59,,1013,0,0,15,0,0,0
7,0,0,63,,1013,0,0,14,0,0,0
7,0,0,63,,1013,0,0,14,0,0,0
7,0,0,59,,1014,0,0,15,0,0,230
7,0,0,49,,1014,0,0,18,0,0,260
8,0,0,41,,1015,0,0,22,0,0,220
8,0,0,36,,1014,0,0,24,0,0,250
7,0,0,30,,1013,0,0,26,0,0,240
6,0,0,25,,1012,0,0,28,0,0,270
5,0,0,22,,1012,0,0,29,0,0,270
4,0,0,20,,1011,0,0,29,0,0,270
4,0,0,20,,1011,0,0,29,0,0,280
5,0,0,24,,1011,0,0,27,0,0,290
6,0,0,33,,1011,0,0,23,0,0,0
7,0,0,40,,1011,0,0,21,0,0,0
9,0,0,56,,1012,0,0,18,0,0,0
8,0,0,49,,-9999,0,0,19,0,0,0
7,0,0,49,,1012,0,0,18,0,0,0
6,0,0,48,,1011,0,0,17,0,0,0
7,0,0,55,,1011,0,0,16,0,0,0
7,0,0,59,,1011,0,0,15,0,0,0
8,0,0,67,,1011,0,0,14,0,0,0
7,0,0,63,,1011,0,0,14,0,0,0
7,0,0,63,,1012,0,0,14,0,0,0
7,0,0,59,,1012,0,0,15,0,0,0
7,0,0,49,,1013,0,0,18,0,0,0
5,0,0,40,,1014,0,0,19,0,0,0
7,0,0,34,,1014,0,0,24,0,0,0
7,0,0,28,,1014,0,0,27,0,0,150
4,0,0,21,,1014,0,0,28,0,0,230
4,0,0,20,,1012,0,0,29,0,0,250
2,0,0,17,,1011,0,0,30,0,0,270
1,0,0,17,,1011,0,0,28,0,0,290
2,0,0,18,,1011,0,0,29,0,0,290
5,0,0,23,,1011,0,0,28,0,0,0
7,0,0,34,,1011,0,0,24,0,0,0
7,0,0,36,,1012,0,0,23,0,0,0
7,0,0,38,,1012,0,0,22,0,0,0
7,0,0,43,,1013,0,0,20,0,0,90
6,0,0,40,,1013,0,0,20,0,0,90
5,0,0,37,,1013,0,0,20,0,0,100
6,0,0,43,,1013,0,0,19,0,0,0
5,0,0,37,,1013,0,0,20,0,0,0
7,0,0,49,,1013,0,0,18,0,0,0
9,0,0,59,,1013,0,0,17,0,0,70
9,0,0,63,,1012,0,0,16,0,0,70
9,0,0,63,,1013,0,0,16,0,0,80
7,0,0,55,,1013,0,0,16,0,0,100
6,0,0,38,,1014,0,0,21,0,0,110
6,0,0,31,,1015,0,0,24,0,0,100
6,0,0,28,,1015,0,0,26,0,0,0
5,0,0,23,,1014,0,0,28,0,0,140
5,0,0,20,,1014,0,0,30,0,0,140
4,0,0,19,,1013,0,0,30,0,0,0
4,0,0,18,,1012,0,0,31,0,0,210
5,0,0,19,,1010,0,0,31,0,0,0
5,0,0,20,,1011,0,0,30,0,0,120
6,0,0,25,,1010,0,0,28,0,0,90
8,0,0,34,,1011,0,0,25,0,0,0
8,0,0,36,,-9999,0,0,24,0,0,0
8,0,0,38,,1011,0,0,23,0,0,0
7,0,0,38,,1011,0,0,22,0,0,80
8,0,0,41,,1012,0,0,22,0,0,100
10,0,0,49,,1012,0,0,21,0,0,60
10,0,0,49,,1012,0,0,21,0,0,80
10,0,0,56,,1012,0,0,19,0,0,0
10,0,0,52,,1011,0,0,20,0,0,70
10,0,0,52,,1011,0,0,20,0,0,70
12,0,0,68,,1011,0,0,18,0,0,0
12,0,0,72,,1011,0,0,17,0,0,0
11,0,0,68,,-9999,0,0,17,0,0,0
11,0,0,60,,1011,0,0,19,0,0,130
,0,0,N/A,,1012,0,0,,0,0,280
12,0,0,56,,1013,0,0,21,0,0,0
12,0,0,44,,1013,0,0,25,0,0,0
11,0,0,41,,1013,0,0,25,0,0,260
11,0,0,39,,1013,0,0,26,0,0,300
10,0,0,32,,1012,0,0,28,0,0,280
10,0,0,23,,1011,0,0,34,0,0,300
12,0,0,37,,1011,0,0,28,0,0,300
11,0,0,35,,1011,0,0,28,0,0,290
13,0,0,42,,1011,0,0,27,0,0,0
13,0,0,47,,1011,0,0,25,0,0,0
14,0,0,57,,1012,0,0,23,0,0,0
13,0,0,57,,1012,0,0,22,0,0,0
13,0,0,60,,1013,0,0,21,0,0,0
13,0,0,60,,1013,0,0,21,0,0,0
13,0,0,60,,1013,0,0,21,0,0,0
13,0,0,64,,1013,0,0,20,0,0,0
12,0,0,64,,1014,0,0,19,0,0,0
14,0,0,64,,1013,0,0,21,0,0,0
13,0,0,53,,1013,0,0,23,0,0,0
13,0,0,64,,1014,0,0,20,0,0,0
13,0,0,64,,1014,0,0,20,0,0,0
13,0,0,60,,1015,0,0,21,0,0,0
13,0,0,57,,1018,0,0,22,0,0,250
9,0,0,36,,1018,0,0,25,0,0,0
10,0,0,36,,1017,0,0,26,0,0,270
9,0,0,32,,1016,0,0,27,0,0,260
6,0,0,25,,1016,0,0,28,0,0,300
7,0,0,26,,1016,0,0,28,0,0,300
6,0,0,25,,1016,0,0,28,0,0,290
6,0,0,26,,1016,0,0,27,0,0,270
8,0,0,36,,1016,0,0,24,0,0,0
8,0,0,43,,1017,0,0,21,0,0,0
8,0,0,49,,1018,0,0,19,0,0,0
9,0,0,52,,1018,0,0,19,0,0,0
8,0,0,59,,1018,0,0,16,0,0,0
8,0,0,63,,1019,0,0,15,0,0,0
8,0,0,67,,1018,0,0,14,0,0,0
8,0,0,67,,1018,0,0,14,0,0,0
8,0,0,67,,1019,0,0,14,0,0,0
7,0,0,63,,1020,0,0,14,0,0,260
7,0,0,59,,1021,0,0,15,0,0,270
8,0,0,41,,1021,0,0,22,0,0,260
8,0,0,38,,1021,0,0,23,0,0,270
9,0,0,36,,1020,0,0,25,0,0,270
5,0,0,26,,1019,0,0,26,0,0,280
5,0,0,29,,1018,0,0,24,0,0,270
7,0,0,38,,1019,0,0,22,0,0,260
9,0,0,52,,1019,0,0,19,0,0,270
9,0,0,59,,1019,0,0,17,0,0,210
8,0,0,59,,1019,0,0,16,0,0,230
8,0,0,63,,1019,0,0,15,0,0,260
7,0,0,63,,1019,0,0,14,0,0,270
7,0,0,63,,1018,0,0,14,0,0,260
7,0,0,67,,1018,0,0,13,0,0,250
7,0,0,72,,1017,0,0,12,0,0,230
6,0,0,67,,1017,0,0,12,0,0,240
5,0,0,67,,1017,0,0,11,0,0,260
4,0,0,62,,1017,0,0,11,0,0,220
4,0,0,58,,1018,0,0,12,0,0,270
3,0,0,45,,1019,0,0,15,0,0,250
3,0,0,39,,1019,0,0,17,0,0,260
2,0,0,32,,1019,0,0,19,0,0,270
,0,0,N/A,,-9999,0,0,,0,0,0
-1,0,0,19,,1017,0,0,24,0,0,280
0,0,0,19,,1016,0,0,25,0,0,300
1,0,0,21,,1015,0,0,25,0,0,270
1,0,0,21,,1015,0,0,25,0,0,270
1,0,0,23,,-9999,0,0,23,0,0,0
2,0,0,27,,-9999,0,0,22,0,0,270
3,0,0,39,,-9999,0,0,17,0,0,0
4,0,0,42,,-9999,0,0,17,0,0,0
2,0,0,37,,1017,0,0,17,0,0,0
2,0,0,39,,1017,0,0,16,0,0,260
2,0,0,42,,-9999,0,0,15,0,0,250
2,0,0,44,,1017,0,0,14,0,0,250
2,0,0,44,,1017,0,0,14,0,0,0
3,0,0,58,,1016,0,0,11,0,0,0
3,0,0,58,,1016,0,0,11,0,0,0
2,0,0,58,,1016,0,0,10,0,0,200
4,0,0,62,,1017,0,0,11,0,0,210
3,0,0,58,,1018,0,0,11,0,0,230
2,0,0,44,,1019,0,0,14,0,0,260
3,0,0,37,,1019,0,0,18,0,0,260
3,0,0,31,,1019,0,0,21,0,0,300
3,0,0,27,,1018,0,0,23,0,0,300
0,0,0,19,,1017,0,0,25,0,0,270
0,0,0,19,,1016,0,0,25,0,0,270
-1,0,0,17,,1016,0,0,26,0,0,270
-1,0,0,18,,1016,0,0,25,0,0,270
1,0,0,22,,1016,0,0,24,0,0,270
2,0,0,27,,1017,0,0,22,0,0,0
3,0,0,37,,1017,0,0,18,0,0,0
5,0,0,45,,1018,0,0,17,0,0,0
4,0,0,42,,1018,0,0,17,0,0,0
3,0,0,39,,1018,0,0,17,0,0,0
3,0,0,42,,1018,0,0,16,0,0,0
6,0,0,59,,1018,0,0,14,0,0,0
5,0,0,55,,1018,0,0,14,0,0,0
4,0,0,51,,1018,0,0,14,0,0,0
5,0,0,58,,1017,0,0,13,0,0,0
5,0,0,62,,1017,0,0,12,0,0,0
4,0,0,58,,1017,0,0,12,0,0,0
3,0,0,51,,1018,0,0,13,0,0,0
3,0,0,51,,1019,0,0,13,0,0,0
1,0,0,39,,1019,0,0,15,0,0,0
3,0,0,39,,1020,0,0,17,0,0,0
3,0,0,29,,1020,0,0,22,0,0,0
2,0,0,22,,1020,0,0,25,0,0,0
0,0,0,16,,1016,0,0,28,0,0,0
5,0,0,28,,1016,0,0,25,0,0,0
6,0,0,38,,1017,0,0,21,0,0,0
6,0,0,38,,1017,0,0,21,0,0,60
6,0,0,40,,1017,0,0,20,0,0,90
4,0,0,37,,1017,0,0,19,0,0,70
4,0,0,40,,-9999,0,0,18,0,0,90
4,0,0,42,,1017,0,0,17,0,0,80
4,0,0,45,,1017,0,0,16,0,0,0
4,0,0,42,,1017,0,0,17,0,0,100
5,0,0,51,,-9999,0,0,15,0,0,100
7,0,0,52,,1016,0,0,17,0,0,110
3,0,0,45,,1016,0,0,15,0,0,0
3,0,0,42,,-9999,0,0,16,0,0,120
3,0,0,42,,1017,0,0,16,0,0,140
3,0,0,39,,1018,0,0,17,0,0,120
3,0,0,35,,1019,0,0,19,0,0,140
5,0,0,37,,1019,0,0,20,0,0,110
3,0,0,25,,1019,0,0,24,0,0,0
2,0,0,24,,1018,0,0,24,0,0,150
5,0,0,28,,1017,0,0,25,0,0,120
3,0,0,24,,1016,0,0,25,0,0,130
4,0,0,26,,1016,0,0,25,0,0,130
3,0,0,24,,1015,0,0,25,0,0,120
6,0,0,33,,1015,0,0,23,0,0,90
5,0,0,40,,1016,0,0,19,0,0,100
7,0,0,52,,1016,0,0,17,0,0,50
8,0,0,55,,1017,0,0,17,0,0,100
9,0,0,63,,1017,0,0,16,0,0,90
9,0,0,59,,1017,0,0,17,0,0,80
9,0,0,63,,1017,0,0,16,0,0,100
9,0,0,63,,1016,0,0,16,0,0,100
11,0,0,72,,1015,0,0,16,0,0,90
11,0,0,77,,-9999,0,0,15,0,0,100
11,0,0,68,,1015,0,0,17,0,0,100
12,0,0,72,,1016,0,0,17,0,0,100
12,0,0,72,,1016,0,0,17,0,0,100
12,0,0,72,,1018,0,0,17,0,0,280
14,0,0,60,,1019,0,0,22,0,0,0
13,0,0,68,,-9999,0,0,19,0,0,110
11,0,0,50,,1020,0,0,22,0,0,140
13,0,0,53,,1019,0,0,23,0,0,150
12,0,0,44,,1017,0,0,25,0,0,150
12,0,0,44,,1016,0,0,25,0,0,120
12,0,0,50,,1016,0,0,23,0,0,100
13,0,0,57,,1016,0,0,22,0,0,80
13,0,0,60,,1016,0,0,21,0,0,70
14,0,0,68,,1017,0,0,20,0,0,0
14,0,0,64,,1017,0,0,21,0,0,0
14,0,0,68,,1018,0,0,20,0,0,0
13,0,0,64,,1018,0,0,20,0,0,0
10,0,0,56,,1018,0,0,19,0,0,300
9,0,0,52,,1018,0,0,19,0,0,300
10,0,0,68,,1015,0,0,16,0,0,0
10,0,0,63,,1017,0,0,17,0,0,0
10,0,0,68,,1016,0,0,16,0,0,0
10,0,0,77,,1016,0,0,14,0,0,0
9,0,0,72,,1016,0,0,14,0,0,0
9,0,0,72,,1018,0,0,14,0,0,240
8,0,0,63,,1018,0,0,15,0,0,240
8,0,0,63,,1019,0,0,15,0,0,240
9,0,0,63,,1019,0,0,16,0,0,260
11,0,0,60,,1019,0,0,19,0,0,260
12,0,0,53,,1018,0,0,22,0,0,0
13,0,0,53,,1017,0,0,23,0,0,290
13,0,0,47,,1016,0,0,25,0,0,230
12,0,0,44,,1016,0,0,25,0,0,0
11,0,0,41,,1015,0,0,25,0,0,240
13,0,0,64,,1015,0,0,20,0,0,270
13,0,0,68,,1016,0,0,19,0,0,0
12,0,0,64,,1016,0,0,19,0,0,280
12,0,0,64,,1017,0,0,19,0,0,270
11,0,0,68,,1017,0,0,17,0,0,0
8,0,0,55,,1017,0,0,17,0,0,0
6,0,0,52,,1017,0,0,16,0,0,0
6,0,0,55,,1016,0,0,15,0,0,0
6,0,0,63,,1015,0,0,13,0,0,0
6,0,0,63,,1015,0,0,13,0,0,0
6,0,0,71,,1015,0,0,11,0,0,0
7,0,0,76,,1015,0,0,11,0,0,0
6,0,0,71,,1015,0,0,11,0,0,0
5,0,0,62,,1017,0,0,12,0,0,0
7,0,0,72,,1017,0,0,12,0,0,0
5,0,0,48,,1017,0,0,16,0,0,270
5,0,0,40,,1017,0,0,19,0,0,10
4,0,0,29,,1014,0,0,23,0,0,290
5,0,0,35,,1014,0,0,21,0,0,280
5,0,0,40,,1014,0,0,19,0,0,250
6,0,0,52,,1015,0,0,16,0,0,0
6,0,0,55,,1016,0,0,15,0,0,0
5,0,0,55,,1016,0,0,14,0,0,0
7,0,0,59,,1016,0,0,15,0,0,0
7,0,0,67,,1016,0,0,13,0,0,0
7,0,0,67,,1016,0,0,13,0,0,0
6,0,0,63,,1016,0,0,13,0,0,0
6,0,0,67,,1016,0,0,12,0,0,0
6,0,0,67,,1016,0,0,12,0,0,0
6,0,0,67,,1016,0,0,12,0,0,0
6,0,0,67,,1017,0,0,12,0,0,0
6,0,0,59,,1017,0,0,14,0,0,0
6,0,0,59,,1018,0,0,14,0,0,230
6,0,0,48,,1018,0,0,17,0,0,240
5,0,0,40,,1018,0,0,19,0,0,270
7,0,0,43,,1017,0,0,20,0,0,270
5,0,0,35,,1016,0,0,21,0,0,290
5,0,0,33,,1015,0,0,22,0,0,300
6,0,0,33,,1014,0,0,23,0,0,290
4,0,0,31,,1014,0,0,22,0,0,280
6,0,0,38,,1014,0,0,21,0,0,280
6,0,0,43,,1014,0,0,19,0,0,260
7,0,0,52,,1015,0,0,17,0,0,0
7,0,0,55,,1015,0,0,16,0,0,0
7,0,0,59,,1015,0,0,15,0,0,0
6,0,0,55,,1015,0,0,15,0,0,0
7,0,0,63,,1015,0,0,14,0,0,0
7,0,0,63,,1015,0,0,14,0,0,210
6,0,0,63,,1016,0,0,13,0,0,250
6,0,0,67,,1015,0,0,12,0,0,0
6,0,0,67,,1015,0,0,12,0,0,0
5,0,0,67,,1014,0,0,11,0,0,0
6,0,0,76,,1014,0,0,10,0,0,0
6,0,0,76,,1015,0,0,10,0,0,0
6,0,0,71,,-9999,0,0,11,0,0,210
7,0,0,72,,-9999,0,0,12,0,0,0
6,0,0,63,,-9999,0,0,13,0,0,270
7,0,0,55,,1017,0,0,16,0,0,240
9,0,0,52,,1016,0,0,19,0,0,250
6,0,0,38,,1016,0,0,21,0,0,280
7,0,0,38,,1015,0,0,22,0,0,290
6,0,0,31,,1014,0,0,24,0,0,290
5,0,0,29,,1013,0,0,24,0,0,260
4,0,0,27,,1013,0,0,24,0,0,270
4,0,0,31,,1013,0,0,22,0,0,270
4,0,0,37,,1013,0,0,19,0,0,280
5,0,0,48,,1014,0,0,16,0,0,0
5,0,0,45,,1014,0,0,17,0,0,0
5,0,0,48,,1014,0,0,16,0,0,0
5,0,0,51,,1013,0,0,15,0,0,0
5,0,0,58,,1013,0,0,13,0,0,0
4,0,0,51,,1013,0,0,14,0,0,210
5,0,0,62,,1013,0,0,12,0,0,0
5,0,0,58,,1013,0,0,13,0,0,0
6,0,0,71,,1013,0,0,11,0,0,0
5,0,0,62,,1013,0,0,12,0,0,0
5,0,0,67,,1013,0,0,11,0,0,0
4,0,0,62,,1013,0,0,11,0,0,0
4,0,0,58,,1014,0,0,12,0,0,0
4,0,0,54,,1015,0,0,13,0,0,0
5,0,0,51,,1015,0,0,15,0,0,220
4,0,0,42,,1016,0,0,17,0,0,240
5,0,0,37,,1016,0,0,20,0,0,230
5,0,0,33,,1015,0,0,22,0,0,270
4,0,0,27,,1013,0,0,24,0,0,270
4,0,0,27,,1013,0,0,24,0,0,260
4,0,0,26,,1012,0,0,25,0,0,270
4,0,0,29,,1012,0,0,23,0,0,270
5,0,0,37,,1013,0,0,20,0,0,0
5,0,0,45,,-9999,0,0,17,0,0,0
6,0,0,48,,1014,0,0,17,0,0,0
7,0,0,55,,1014,0,0,16,0,0,0
6,0,0,55,,1014,0,0,15,0,0,0
6,0,0,55,,1014,0,0,15,0,0,0
6,0,0,59,,1014,0,0,14,0,0,0
6,0,0,59,,1013,0,0,14,0,0,0
5,0,0,55,,-9999,0,0,14,0,0,0
5,0,0,62,,-9999,0,0,12,0,0,0
6,0,0,67,,1014,0,0,12,0,0,0
6,0,0,63,,1014,0,0,13,0,0,0
5,0,0,62,,-9999,0,0,12,0,0,0
7,0,0,55,,1016,0,0,16,0,0,0
6,0,0,48,,1017,0,0,17,0,0,0
,0,0,N/A,,1017,0,0,,0,0,0
6,0,0,29,,1017,0,0,25,0,0,0
4,0,0,26,,1016,0,0,25,0,0,100
4,0,0,23,,1015,0,0,27,0,0,130
5,0,0,24,,1014,0,0,27,0,0,220
4,0,0,23,,1014,0,0,27,0,0,0
5,0,0,23,,1013,0,0,28,0,0,0
8,0,0,36,,1013,0,0,24,0,0,0
8,0,0,43,,1014,0,0,21,0,0,0
8,0,0,49,,1014,0,0,19,0,0,0
7,0,0,49,,1014,0,0,18,0,0,0
7,0,0,52,,1014,0,0,17,0,0,0
8,0,0,55,,1014,0,0,17,0,0,0
8,0,0,63,,1014,0,0,15,0,0,0
7,0,0,59,,1014,0,0,15,0,0,0
7,0,0,59,,1014,0,0,15,0,0,0
7,0,0,59,,1014,0,0,15,0,0,0
7,0,0,63,,1014,0,0,14,0,0,0
7,0,0,63,,1014,0,0,14,0,0,0
7,0,0,67,,1014,0,0,13,0,0,0
7,0,0,63,,1015,0,0,14,0,0,0
8,0,0,63,,1015,0,0,15,0,0,0
9,0,0,49,,1017,0,0,20,0,0,0
6,0,0,33,,1016,0,0,23,0,0,0
7,0,0,32,,1015,0,0,25,0,0,320
5,0,0,28,,1014,0,0,25,0,0,10
5,0,0,28,,1014,0,0,25,0,0,10
7,0,0,34,,1013,0,0,24,0,0,0
6,0,0,38,,1013,0,0,21,0,0,0
9,0,0,56,,1014,0,0,18,0,0,0
9,0,0,59,,1014,0,0,17,0,0,0
9,0,0,63,,1014,0,0,16,0,0,0
8,0,0,59,,1014,0,0,16,0,0,0
8,0,0,63,,1014,0,0,15,0,0,0
8,0,0,63,,1014,0,0,15,0,0,0
8,0,0,67,,1014,0,0,14,0,0,0
8,0,0,72,,-9999,0,0,13,0,0,0
8,0,0,67,,-9999,0,0,14,0,0,0
8,0,0,72,,1014,0,0,13,0,0,0
8,0,0,77,,1014,0,0,12,0,0,0
9,0,0,77,,1015,0,0,13,0,0,0
8,0,0,63,,1016,0,0,15,0,0,0
6,0,0,38,,1016,0,0,21,0,0,0
6,0,0,33,,1015,0,0,23,0,0,300
2,0,0,22,,1013,0,0,25,0,0,330
0,0,0,21,,1013,0,0,24,0,0,300
0,0,0,21,,1013,0,0,24,0,0,340
1,0,0,23,,1013,0,0,23,0,0,360
3,0,0,33,,1013,0,0,20,0,0,0
5,0,0,45,,1014,0,0,17,0,0,0
5,0,0,51,,1014,0,0,15,0,0,0
4,0,0,42,,1015,0,0,17,0,0,0
5,0,0,45,,1015,0,0,17,0,0,0
5,0,0,58,,1015,0,0,13,0,0,0
5,0,0,55,,1015,0,0,14,0,0,0
5,0,0,55,,1015,0,0,14,0,0,0
5,0,0,62,,1015,0,0,12,0,0,0
